contest-tmp2m-14d__tmp2m,index
28.162178,375734
28.911118,375735
28.726288,375736
28.99452,375737
29.143162,375738
29.060495,375739
28.6315,375740
28.409224,375741
28.29323,375742
28.42246,375743
28.468992,375744
28.86579,375745
28.281397,375746
28.300898,375747
27.869846,375748
27.960348,375749
27.986065,375750
27.849634,375751
27.41497,375752
27.232866,375753
26.98386,375754
26.504232,375755
26.230516,375756
25.968866,375757
25.678066,375758
25.600721,375759
25.70791,375760
26.22431,375761
26.249727,375762
26.403873,375763
26.317953,375764
26.341196,375765
26.626657,375766
26.7555,375767
26.722301,375768
27.072424,375769
27.400206,375770
26.514061,375771
25.971832,375772
25.22696,375773
26.592285,375774
26.945894,375775
26.511055,375776
25.370676,375777
24.938992,375778
23.372519,375779
23.34331,375780
22.659138,375781
22.6058,375782
22.236763,375783
22.082369,375784
22.678879,375785
22.586407,375786
22.514797,375787
22.30054,375788
21.014835,375789
20.220388,375790
20.129875,375791
19.39832,375792
19.146584,375793
18.639063,375794
27.939396,375795
28.541925,375796
28.433,375797
28.67122,375798
28.509262,375799
28.435724,375800
28.168976,375801
27.86047,375802
27.856852,375803
27.884422,375804
27.900208,375805
28.250708,375806
28.101627,375807
28.111198,375808
27.892937,375809
28.01038,375810
28.054647,375811
27.720774,375812
27.393688,375813
27.346521,375814
27.01186,375815
26.439081,375816
26.232952,375817
25.821486,375818
25.528128,375819
25.76236,375820
26.112722,375821
26.16584,375822
26.259375,375823
26.285652,375824
26.363913,375825
26.333258,375826
26.79972,375827
26.757107,375828
26.975594,375829
27.211863,375830
27.164614,375831
26.178074,375832
26.20517,375833
25.967073,375834
26.649107,375835
26.669657,375836
26.336082,375837
25.444916,375838
24.244576,375839
23.60875,375840
22.983788,375841
22.568167,375842
22.48452,375843
21.911306,375844
22.122042,375845
23.098255,375846
23.114233,375847
23.07605,375848
22.861834,375849
21.332336,375850
20.517696,375851
20.348015,375852
19.718836,375853
19.447472,375854
18.914038,375855
28.700218,375856
29.481632,375857
29.144817,375858
29.518875,375859
29.595339,375860
29.691774,375861
29.312637,375862
28.934107,375863
28.586716,375864
28.764738,375865
29.115047,375866
29.351511,375867
28.959343,375868
28.558117,375869
28.088017,375870
28.044748,375871
27.730904,375872
27.613642,375873
27.57725,375874
27.264496,375875
26.720951,375876
26.373823,375877
26.177492,375878
26.09566,375879
25.801817,375880
25.586948,375881
26.024462,375882
26.175722,375883
26.597517,375884
26.154367,375885
25.756279,375886
26.36266,375887
26.578808,375888
26.627554,375889
26.80622,375890
26.812284,375891
27.215107,375892
27.081907,375893
24.824017,375894
24.549301,375895
25.58891,375896
26.627705,375897
26.627712,375898
25.292572,375899
24.661402,375900
23.585188,375901
23.24974,375902
22.811974,375903
22.79984,375904
22.734955,375905
22.601229,375906
22.806389,375907
23.219086,375908
23.455244,375909
22.965734,375910
22.726725,375911
21.36995,375912
20.142307,375913
19.477722,375914
18.849352,375915
18.75933,375916
28.354622,375917
29.088522,375918
28.912073,375919
28.959894,375920
28.99215,375921
29.157476,375922
29.044897,375923
28.358961,375924
28.143085,375925
28.22882,375926
28.279675,375927
28.892708,375928
28.245323,375929
27.967672,375930
27.881117,375931
27.708542,375932
27.435074,375933
27.17995,375934
27.048557,375935
26.652124,375936
26.328506,375937
25.846518,375938
25.619127,375939
25.595936,375940
25.430851,375941
25.120722,375942
25.447155,375943
25.738476,375944
25.714998,375945
25.585573,375946
25.474518,375947
25.433477,375948
25.787771,375949
26.343067,375950
26.094904,375951
26.321772,375952
26.601606,375953
26.165482,375954
25.52582,375955
24.397032,375956
26.171164,375957
26.846579,375958
26.115181,375959
24.594755,375960
23.92438,375961
23.134045,375962
22.672283,375963
22.241127,375964
22.356388,375965
22.261013,375966
22.309793,375967
22.571218,375968
23.238832,375969
23.359867,375970
22.760155,375971
22.42355,375972
21.239048,375973
19.9478,375974
19.223885,375975
18.724115,375976
18.505835,375977
28.303062,375978
28.886255,375979
28.8132,375980
29.122135,375981
29.116833,375982
29.108631,375983
28.181053,375984
27.832624,375985
27.941948,375986
27.935646,375987
27.951855,375988
28.170422,375989
28.069883,375990
28.231285,375991
28.048203,375992
27.863781,375993
27.633602,375994
27.455635,375995
27.343725,375996
27.104048,375997
26.574526,375998
25.59254,375999
25.3176,376000
25.644327,376001
25.463034,376002
25.271605,376003
25.484661,376004
25.870708,376005
25.618341,376006
25.575018,376007
25.67575,376008
25.855345,376009
26.351494,376010
26.278439,376011
26.93069,376012
26.466072,376013
26.522924,376014
25.863312,376015
26.546541,376016
25.351328,376017
26.988016,376018
26.715569,376019
25.895422,376020
24.110659,376021
23.214857,376022
22.8598,376023
22.43814,376024
21.909243,376025
22.31475,376026
21.945648,376027
21.644043,376028
22.377054,376029
22.967848,376030
22.894684,376031
22.742579,376032
22.33932,376033
20.359074,376034
20.004137,376035
19.300467,376036
19.079687,376037
18.64871,376038
29.562939,376039
29.792984,376040
29.563215,376041
29.427296,376042
29.443388,376043
29.313877,376044
29.05974,376045
29.100737,376046
29.138487,376047
29.15803,376048
28.997404,376049
28.670368,376050
28.511599,376051
28.007532,376052
28.04125,376053
28.118587,376054
27.63216,376055
27.537163,376056
27.764551,376057
27.401476,376058
26.57181,376059
26.387955,376060
25.644167,376061
25.776016,376062
25.519356,376063
25.700153,376064
25.97905,376065
26.017485,376066
25.833088,376067
25.595953,376068
25.547634,376069
25.738272,376070
26.007689,376071
26.542917,376072
26.698843,376073
26.740002,376074
26.707756,376075
25.69336,376076
24.880627,376077
24.938202,376078
24.777983,376079
25.365755,376080
24.921507,376081
24.577787,376082
24.225924,376083
23.994423,376084
22.902077,376085
22.02908,376086
22.063585,376087
21.863863,376088
22.456339,376089
22.866756,376090
23.023705,376091
22.7731,376092
22.561047,376093
22.425724,376094
21.423763,376095
19.679546,376096
19.105783,376097
19.13964,376098
18.613686,376099
29.139654,376100
29.676695,376101
29.575405,376102
29.759615,376103
29.669996,376104
29.734695,376105
29.57246,376106
29.64941,376107
29.279636,376108
29.164896,376109
29.204159,376110
29.35981,376111
28.992601,376112
28.402256,376113
28.251204,376114
28.111595,376115
27.845985,376116
27.597359,376117
27.327404,376118
27.097584,376119
26.611122,376120
26.120554,376121
25.819138,376122
25.679735,376123
25.54416,376124
25.89455,376125
26.308266,376126
26.450365,376127
26.64605,376128
25.679953,376129
25.589329,376130
26.45094,376131
26.450697,376132
26.409927,376133
26.913376,376134
26.916477,376135
26.797733,376136
26.668737,376137
